Geographic Area,2020,2021,2022,2023,2024
"..San Rafael, CA Metro Division","261,341","259,254","257,143","255,706",256400
".San Jose-Sunnyvale-Santa Clara, CA Metro Area","1,989,335","1,945,023","1,951,368","1,965,478",1995484
".San Luis Obispo-Paso Robles, CA Metro Area","281,924","279,468","282,535","282,007",281843
".Santa Cruz-Watsonville, CA Metro Area","271,768","260,904","265,851","263,699",262406
".Santa Fe, NM Metro Area","155,056","155,429","155,768","156,507",157765
".Santa Maria-Santa Barbara, CA Metro Area","448,083","437,117","445,286","443,521",444500
".Santa Rosa-Petaluma, CA Metro Area","488,501","484,561","483,398","483,366",485375
".Savannah, GA Metro Area","405,312","409,485","418,858","426,182",431589
".Scranton--Wilkes-Barre, PA Metro Area","566,802","568,157","568,723","571,249",574009
".Seattle-Tacoma-Bellevue, WA Metro Area","4,027,979","4,017,215","4,040,080","4,078,828",4145494
"..Everett, WA Metro Division","829,975","836,235","841,529","850,297",864113
"..Seattle-Bellevue-Kent, WA Metro Division","2,274,349","2,253,242","2,271,238","2,296,813",2340211
"..Tacoma-Lakewood, WA Metro Division","923,655","927,738","927,313","931,718",941170
".Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","160,452","163,903","167,698","170,487",172139
".Sebring, FL Metro Area","101,340","103,286","105,954","108,151",109778
".Sheboygan, WI Metro Area","118,058","117,710","117,860","117,995",118331
".Sherman-Denison, TX Metro Area","136,152","139,652","143,292","147,056",150532
".Shreveport-Bossier City, LA Metro Area","392,522","388,986","385,316","384,001",383269
".Sierra Vista-Douglas, AZ Metro Area","125,533","126,147","125,497","124,881",125773
".Sioux City, IA-NE-SD Metro Area","144,365","143,963","144,010","145,070",145994
".Sioux Falls, SD-MN Metro Area","287,413","292,064","299,092","304,068",308266
".Slidell-Mandeville-Covington, LA Metro Area","265,007","270,188","273,494","275,801",277615
".South Bend-Mishawaka, IN-MI Metro Area","324,241","323,838","324,205","325,224",325294
".Spartanburg, SC Metro Area","356,587","362,480","373,242","385,441",395934
".Spokane-Spokane Valley, WA Metro Area","587,787","593,160","598,108","601,596",604962
".Springfield, IL Metro Area","208,495","207,638","206,559","206,212",206308
".Springfield, MA Metro Area","463,714","462,640","461,440","462,128",464151
".Springfield, MO Metro Area","476,382","481,764","487,114","491,691",496975
".Springfield, OH Metro Area","135,894","135,490","134,686","134,735",134985
".State College, PA Metro Area","157,987","158,008","157,992","159,087",159805
".Staunton-Stuarts Draft, VA Metro Area","125,675","126,083","126,603","127,269",128481
".Stockton-Lodi, CA Metro Area","780,676","788,096","795,880","805,909",816108
".Sumter, SC Metro Area","105,493","104,879","104,068","104,410",104776
".Syracuse, NY Metro Area","659,619","657,371","655,604","654,267",655189
".Tallahassee, FL Metro Area","385,674","388,343","391,819","395,143",397675
".Tampa-St. Petersburg-Clearwater, FL Metro Area","3,187,970","3,230,564","3,306,285","3,374,078",3424560
"..St. Petersburg-Clearwater-Largo, FL Metro Division","959,839","959,703","964,693","967,301",965870
"..Tampa, FL Metro Division","2,228,131","2,270,861","2,341,592","2,406,777",2458690
".Terre Haute, IN Metro Area","168,779","168,742","168,543","168,657",168874
".Texarkana, TX-AR Metro Area","147,470","146,687","145,984","145,760",145576
".Toledo, OH Metro Area","605,777","602,375","601,058","601,004",601396
".Topeka, KS Metro Area","232,904","232,847","231,775","232,166",232648
".Traverse City, MI Metro Area","153,657","154,849","155,794","156,309",156634
".Trenton-Princeton, NJ Metro Area","386,492","382,231","382,165","386,296",392138
".Tucson, AZ Metro Area","1,045,227","1,049,083","1,059,412","1,068,579",1080149
".Tulsa, OK Metro Area","1,017,411","1,025,983","1,036,199","1,048,266",1059803
".Tuscaloosa, AL Metro Area","274,085","277,612","278,800","280,175",281963
".Twin Falls, ID Metro Area","114,642","117,150","119,201","120,978",122565
".Tyler, TX Metro Area","234,200","237,206","242,249","245,955",249091
".Urban Honolulu, HI Metro Area","1,012,407","1,004,349","995,652","994,576",998747
".Utica-Rome, NY Metro Area","291,134","289,680","288,078","287,581",287932
".Valdosta, GA Metro Area","148,353","148,991","149,748","151,266",152588
".Vallejo, CA Metro Area","452,887","450,819","449,724","451,060",455101
".Victoria, TX Metro Area","98,338","98,051","98,272","98,939",99170
".Vineland, NJ Metro Area","153,724","152,100","151,686","153,338",155678
".Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","1,781,773","1,785,817","1,785,895","1,788,412",1794278
".Visalia, CA Metro Area","473,944","476,939","478,288","480,747",483546
".Waco, TX Metro Area","296,403","299,356","301,913","305,430",307123
".Walla Walla, WA Metro Area","62,629","62,232","62,085","61,789",62068
".Warner Robins, GA Metro Area","192,400","195,499","198,275","200,762",204110
".Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6,260,475","6,259,238","6,289,810","6,345,881",6436489
"..Arlington-Alexandria-Reston, VA-WV Metro Division","3,123,825","3,127,804","3,139,652","3,166,205",3211542
"..Frederick-Gaithersburg-Bethesda, MD Metro Division","1,333,643","1,336,753","1,349,448","1,363,551",1381590
"..Washington, DC-MD Metro Division","1,803,007","1,794,681","1,800,710","1,816,125",1843357
".Waterbury-Shelton, CT Metro Area","449,055","452,095","453,868","457,609",462220
".Waterloo-Cedar Falls, IA Metro Area","168,403","168,082","167,720","168,895",170081
".Watertown-Fort Drum, NY Metro Area","116,071","116,925","115,487","113,575",113140
".Wausau, WI Metro Area","138,114","137,798","138,175","138,838",139091
".Weirton-Steubenville, WV-OH Metro Area","116,713","115,785","114,290","113,745",113239
".Wenatchee-East Wenatchee, WA Metro Area","122,339","123,701","124,179","125,449",127023
".Wheeling, WV-OH Metro Area","139,127","137,930","136,690","135,718",135136
".Wichita, KS Metro Area","648,545","648,580","649,846","654,920",661217
".Wichita Falls, TX Metro Area","148,434","149,118","149,508","149,862",149869
".Wildwood-The Villages, FL Metro Area","130,303","134,908","144,978","152,157",154693
".Williamsport, PA Metro Area","114,130","113,576","113,223","113,282",113236
".Wilmington, NC Metro Area","425,234","438,030","454,680","468,265",480522
".Winchester, VA-WV Metro Area","142,995","145,448","146,222","147,564",149702
".Winston-Salem, NC Metro Area","676,410","681,900","688,725","696,600",705187
".Worcester, MA Metro Area","857,092","862,052","865,735","872,813",881248
".Yakima, WA Metro Area","256,736","256,743","256,566","257,193",258523
".York-Hanover, PA Metro Area","456,754","459,264","461,385","465,977",471240
".Youngstown-Warren, OH Metro Area","429,699","428,153","426,820","426,342",426086
".Yuba City, CA Metro Area","181,480","182,156","183,017","184,152",186014
".Yuma, AZ Metro Area","205,665","207,743","209,538","215,448",220310
