Geographic Area,2020,2021,2022,2023,2024
".Cleveland, TN Metro Area","126,398","127,488","128,613","130,198",132120
".Coeur d'Alene, ID Metro Area","172,791","180,089","183,540","185,237",188323
".College Station-Bryan, TX Metro Area","268,965","272,697","278,389","284,160",287462
".Colorado Springs, CO Metro Area","758,549","763,762","767,534","771,645",777634
".Columbia, MO Metro Area","210,854","212,958","214,653","217,180",219426
".Columbia, SC Metro Area","830,179","837,900","848,473","859,158",870193
".Columbus, GA-AL Metro Area","329,195","326,487","324,118","323,936",324343
".Columbus, IN Metro Area","82,215","82,732","83,746","84,248",84741
".Columbus, OH Metro Area","2,142,023","2,147,585","2,168,930","2,195,029",2225377
".Corpus Christi, TX Metro Area","446,387","447,850","446,869","448,766",450187
".Corvallis, OR Metro Area","93,615","93,031","97,406","98,566",98899
".Crestview-Fort Walton Beach-Destin, FL Metro Area","287,988","293,422","300,215","305,962",310149
".Dallas-Fort Worth-Arlington, TX Metro Area","7,667,594","7,776,611","7,973,603","8,166,110",8344032
"..Dallas-Plano-Irving, TX Metro Division","5,151,851","5,229,766","5,375,360","5,513,383",5641795
"..Fort Worth-Arlington-Grapevine, TX Metro Division","2,515,743","2,546,845","2,598,243","2,652,727",2702237
".Dalton, GA Metro Area","142,806","142,705","143,684","145,219",146386
".Daphne-Fairhope-Foley, AL Metro Area","233,244","239,411","246,577","254,107",261608
".Davenport-Moline-Rock Island, IA-IL Metro Area","383,787","381,705","379,876","380,346",381801
".Dayton-Kettering-Beavercreek, OH Metro Area","814,231","813,905","813,980","816,546",821740
".Decatur, AL Metro Area","156,404","156,322","157,400","158,960",159651
".Decatur, IL Metro Area","103,764","102,619","101,369","100,754",100737
".Deltona-Daytona Beach-Ormond Beach, FL Metro Area","671,784","687,477","707,455","724,514",739516
".Denver-Aurora-Centennial, CO Metro Area","2,970,243","2,978,410","2,991,705","3,020,750",3052498
".Des Moines-West Des Moines, IA Metro Area","711,239","720,861","729,453","740,131",753913
".Detroit-Warren-Dearborn, MI Metro Area","4,385,445","4,370,015","4,358,510","4,369,590",4400578
"..Detroit-Dearborn-Livonia, MI Metro Division","1,789,655","1,775,196","1,763,011","1,762,371",1771063
"..Warren-Troy-Farmington Hills, MI Metro Division","2,595,790","2,594,819","2,595,499","2,607,219",2629515
".Dothan, AL Metro Area","151,174","151,456","152,488","153,480",154766
".Dover, DE Metro Area","182,317","185,069","187,819","190,123",192690
".Dubuque, IA Metro Area","99,310","98,863","98,748","98,988",99242
".Duluth, MN-WI Metro Area","280,618","279,990","280,337","281,587",281815
".Durham-Chapel Hill, NC Metro Area","582,086","592,921","601,788","611,301",620522
".Eagle Pass, TX Metro Area","57,873","57,690","57,813","58,203",58829
".Eau Claire, WI Metro Area","172,223","172,580","173,610","175,007",176153
".El Centro, CA Metro Area","179,730","179,206","179,767","180,585",181724
".Elizabethtown, KY Metro Area","125,717","126,905","126,941","127,724",127954
".Elkhart-Goshen, IN Metro Area","207,009","207,093","207,161","206,963",207436
".Elmira, NY Metro Area","83,677","83,064","81,598","81,279",81115
".El Paso, TX Metro Area","869,877","870,978","872,344","878,319",879392
".Enid, OK Metro Area","62,701","61,977","61,990","62,055",62007
".Erie, PA Metro Area","270,739","269,455","269,112","268,203",267750
".Eugene-Springfield, OR Metro Area","384,221","386,082","386,187","382,151",382396
".Evansville, IN Metro Area","269,524","270,018","270,133","271,002",271793
".Fairbanks-College, AK Metro Area","95,349","95,553","95,749","95,700",94951
".Fargo, ND-MN Metro Area","250,256","255,004","259,659","264,582",267793
".Farmington, NM Metro Area","121,387","121,019","120,580","120,907",120817
".Fayetteville, NC Metro Area","389,444","392,820","392,827","392,998",393812
".Fayetteville-Springdale-Rogers, AR Metro Area","549,960","562,793","578,367","591,895",605615
".Flagstaff, AZ Metro Area","145,190","142,927","144,326","144,934",145161
".Flint, MI Metro Area","405,793","404,713","402,031","401,711",402279
".Florence, SC Metro Area","199,656","199,132","199,294","199,822",200474
".Florence-Muscle Shoals, AL Metro Area","151,336","152,461","153,926","155,249",156287
".Fond du Lac, WI Metro Area","104,156","104,117","104,010","104,135",104269
".Fort Collins-Loveland, CO Metro Area","359,932","362,785","368,017","371,530",374574
".Fort Smith, AR-OK Metro Area","227,222","228,097","230,066","231,261",232848
